Question,Answer
65세 이상 어르신들이 폐렴구균 예방접종을 받으려면 어디로 가야 하나요?,"전국 지정의료기관 또는 보건소를 방문하시면 됩니다. 신분증을 지참해야 하며, 예방접종도우미 누리집에서 지정의료기관을 확인할 수 있습니다."
혹시 주민등록상 1958년 12월 31일 이전 출생자만 국가예방접종 지원 사업의 대상인가요?,"네, 그렇습니다. 65세 이상 어르신 중 주민등록상 출생연도 기준으로 1958년 12월 31일 이전 출생자가 대상입니다."
인플루엔자 4가 백신을 매년 몇 회 지원받을 수 있나요?,인플루엔자 4가 백신은 매년 1회 지원받을 수 있습니다.
폐렴구균 23가 다당 백신은 몇 회 접종을 지원하나요?,폐렴구균 23가 다당 백신은 1회만 지원됩니다.
예방접종을 받기 전에 미리 접종 가능 여부를 확인해야 하나요?,"네, 접종기관 방문 전에 접종 가능 여부를 확인하는 것이 필요합니다."
질병관리청 콜센터나 예방접종관리과에 문의할 수 있는 번호를 알려주세요.,"질병관리청 콜센터는 ☎1339로, 예방접종관리과는 ☎043-719-8398~8399로 문의하실 수 있습니다."
인플루엔자 백신 접종은 어느 시기에 받는 게 좋나요?,"인플루엔자 백신 접종은 매년 10월경에 진행되는 계절사업으로, 이 시기에 맞추어 접종을 받는 것이 좋습니다."
인플루엔자 백신과 폐렴구균 백신을 함께 맞아도 되나요?,"네, 일반적으로 인플루엔자 백신과 폐련구균 백신은 동시접종이 가능합니다. 하지만 개인의 건강 상태에 따라 의사가 접종 일정을 조정할 수 있습니다."
인플루엔자 백신을 맞은 후 폐렴구균 백신을 맞을 때 지켜야 할 접종 간격이 있나요?,동시접종을 하지 못한 경우에도 특별히 지켜야 할 접종 간격은 없습니다. 개별 상황에 맞추어 접종을 진행하시면 됩니다.
예방접종도우미 누리집 주소를 알려주세요.,예방접종도우미 누리집 주소는 [https://nip.kdca.go.kr](https://nip.kdca.go.kr) 입니다. 여기서 지정의료기관을 확인하실 수 있습니다.
"만 60세 이상의 기초생활수급자인 할머니께서 무릎 인공관절 수술을 받으려 하는데, 지원 받을 수 있는 방법이 있나요?","네, 할머니께서 기초생활수급자이시고 만 60세 이상이신 경우, 해당 지역 보건소에 신청하여 무릎 인공관절 수술에 대한 본인부담금을 지원받을 수 있습니다."
노인 무릎 인공관절 수술 지원금은 얼마나 되나요?,한쪽 무릎 기준으로 120만 원의 본인부담금이 지원됩니다.
무릎 인공관절 수술 비용 중 어느 부분이 지원 제외항목인가요?,"수술과 관련 없는 검사비나 치료비, 간병비나 상급병실료 같은 비급여 항목, 그리고 지원 결정 전 발생한 진료비 등은 지원에서 제외됩니다."
